code,age,rs
21484,34,5
1171,34,5
5151,34,5
6152,34,5
5172,34,5
2581,35,5
6132,36,5
10122,36,5
1542,37,5
7391,37,5
10882,37,5
21362,37,5
2471,39,5
4271,39,5
7711,39,5
8142,40,5
1141,42,5
11291,44,5
21571,45,5
3261,46,5
21121,46,5
1101,47,5
8631,47,5
10331,47,5
4811,48,5
1612,48,5
9141,49,5
11001,50,5
7111,51,5
3582,51,5
8392,51,5
1351,51,5
5292,54,5
6231,54,5
2121,55,5
8161,56,5
8445,56,5
1441,59,5
3482,60,5
8522,60,5
6211,61,5
6301,61,5
3101,63,5
3641,63,5
6313,63,5
7741,63,5
7793,63,5
5242,64,5
6204,67,5
9622,69,5
1431,76,5
3821,76,5
4432,76,5
6201,76,5
6203,76,5
7232,76,5
7792,76,5
9161,76,5
10321,76,5
21152,76,5
1241,26,6
8393,26,6
8572,27,6
8131,27,6
8525,27,6
9761,28,6
1131,28,6
9932,28,6
9562,28,6
9351,29,6
4111,29,6
8782,29,6
9822,29,6
6233,30,6
7412,30,6
8571,30,6
9241,30,6
4451,30,6
10251,30,6
2381,31,6
2401,31,6
2511,31,6
3752,31,6
4931,31,6
9626,31,6
10181,31,6
11612,31,6
4921,31,6
6143,31,6
4821,32,6
4891,32,6
10361,32,6
10902,32,6
11261,32,6
11662,32,6
3661,33,6
3781,33,6
21485,33,6
2651,33,6
4711,33,6
6341,33,6
4631,33,6
2501,34,6
10982,34,6
7623,34,6
9173,34,6
10891,34,6
2551,34,6
9812,34,6
3502,35,6
8524,35,6
7482,35,6
7513,35,6
11671,35,6
11091,35,6
21321,36,6
3402,36,6
4462,36,6
9372,36,6
21452,36,6
21161,36,6
21431,36,6
11271,37,6
4951,37,6
7462,37,6
11101,37,6
11592,37,6
4942,38,6
3431,38,6
10342,38,6
1442,39,6
4151,39,6
10043,39,6
10081,39,6
10941,39,6
11521,39,6
10532,39,6
7351,40,6
11361,40,6
4201,40,6
11281,40,6
4441,41,6
5281,41,6
6291,41,6
9252,42,6
3381,43,6
4492,43,6
21462,43,6
10981,45,6
11511,45,6
3241,46,6
8871,46,6
7441,47,6
4491,47,6
10651,47,6
10732,47,6
1432,48,6
11411,48,6
3541,49,6
3572,49,6
11641,49,6
5246,50,6
3814,51,6
8411,52,6
21111,52,6
3631,53,6
5245,53,6
8449,53,6
6263,54,6
8448,54,6
9623,54,6
5244,55,6
6181,56,6
7383,56,6
7501,56,6
7551,56,6
8523,56,6
21294,56,6
8444,57,6
4542,58,6
4682,58,6
2611,59,6
9853,59,6
21313,59,6
4541,60,6
8391,61,6
11491,62,6
3581,63,6
3591,63,6
4192,63,6
4434,63,6
4901,63,6
21501,63,6
11451,65,6
1411,66,6
5241,66,6
21401,66,6
6302,68,6
3181,71,6
9621,74,6
6151,76,6
10482,76,6
4141,81,6
8341,27,7
10141,27,7
8852,28,7
3422,29,7
8662,29,7
4321,30,7
1231,30,7
4871,30,7
10191,31,7
10911,31,7
21453,31,7
21561,31,7
1593,31,7
10241,32,7
4641,32,7
8201,32,7
11701,32,7
3691,33,7
10291,33,7
3583,33,7
7471,33,7
8412,33,7
9551,33,7
11251,33,7
5251,33,7
10711,35,7
8282,35,7
9411,35,7
7331,35,7
5171,35,7
9572,35,7
10652,35,7
1151,36,7
10602,36,7
3501,36,7
10061,36,7
10281,36,7
10971,36,7
11211,36,7
11461,36,7
11241,36,7
3332,37,7
8851,37,7
11681,37,7
1541,37,7
9602,37,7
10721,38,7
2612,38,7
9541,38,7
9471,39,7
1571,39,7
5232,39,7
10271,39,7
7701,40,7
11292,40,7
7631,41,7
10661,41,7
21122,41,7
21341,42,7
3684,42,7
7281,42,7
11081,42,7
10153,43,7
21151,43,7
3562,44,7
3470,44,7
4781,44,7
7311,44,7
9691,45,7
1592,45,7
6111,45,7
7622,45,7
9902,45,7
11322,45,7
9631,45,7
3331,46,7
8651,46,7
21461,46,7
3542,47,7
10301,47,7
4144,47,7
6242,47,7
21451,48,7
4124,48,7
1122,49,7
84411,49,7
2111,50,7
2671,50,7
3451,50,7
9611,50,7
3421,51,7
9571,51,7
10881,51,7
9282,53,7
3223,53,7
3151,54,7
7511,54,7
10851,54,7
8446,55,7
5243,56,7
8581,56,7
8671,56,7
9341,56,7
8381,57,7
11042,58,7
7731,59,7
21212,59,7
2571,60,7
4611,63,7
4681,63,7
6262,63,7
1161,69,7
3813,73,7
2441,76,7
4433,76,7
5121,76,7
6202,76,7
21312,76,7
4581,29,8
9861,32,8
10211,32,8
8583,33,8
10471,33,8
2521,34,8
5211,34,8
10991,34,8
7492,34,8
9312,35,8
9624,35,8
8623,36,8
7151,36,8
7813,36,8
8591,36,8
4132,37,8
9521,38,8
10751,38,8
9781,38,8
10111,38,8
21181,38,8
3152,39,8
4721,39,8
10792,39,8
3141,40,8
4651,40,8
7321,40,8
11661,40,8
11031,42,8
2641,42,8
4331,42,8
9421,42,8
10701,42,8
4511,43,8
4291,44,8
9172,44,8
8721,44,8
3271,44,8
9531,45,8
7721,45,8
10152,45,8
84412,45,8
3683,46,8
6281,46,8
9901,46,8
3203,47,8
5247,47,8
8751,48,8
3761,49,8
21482,50,8
1301,51,8
2201,51,8
11231,51,8
7322,52,8
10521,52,8
3592,53,8
8801,53,8
11351,53,8
4731,54,8
7651,54,8
8447,54,8
1361,56,8
3222,56,8
9281,56,8
21213,56,8
8112,57,8
4941,60,8
8661,60,8
11041,61,8
4122,62,8
1331,63,8
2171,63,8
4421,63,8
7621,63,8
8442,66,8
3481,76,8
7761,76,8
7991,76,8
10961,33,9
4161,36,9
3812,36,9
21541,36,9
8752,37,9
4512,37,9
1462,38,9
4341,38,9
7681,38,9
8191,38,9
3632,38,9
9111,39,9
9381,40,9
21271,40,9
1381,41,9
5111,41,9
7581,41,9
9501,41,9
4181,41,9
21483,42,9
9681,42,9
7162,42,9
9121,42,9
9921,42,9
10611,42,9
10201,43,9
4752,43,9
9791,43,9
11002,43,9
3291,44,9
8582,44,9
9261,45,9
10571,45,9
8561,45,9
9482,45,9
9512,45,9
10421,46,9
4601,47,9
7481,47,9
9382,47,9
9592,47,9
10671,47,9
21112,48,9
9671,48,9
7361,49,9
8811,49,9
7461,50,9
6121,51,9
9481,51,9
3682,52,9
4262,52,9
4461,52,9
84410,52,9
1191,53,9
2182,53,9
2271,53,9
4543,54,9
8891,54,9
7531,56,9
1591,57,9
9391,57,9
10731,58,9
1551,59,9
4143,59,9
3182,62,9
9451,65,9
8441,72,9
9852,76,9
21153,76,9
8822,34,10
9201,36,10
8712,37,10
9792,38,10
9931,39,10
10491,39,10
7421,41,10
4691,42,10
11401,42,10
9402,43,10
2691,43,10
8271,43,10
8781,43,10
9771,43,10
10841,43,10
8821,44,10
8211,48,10
3731,49,10
6122,49,10
11311,49,10
21191,49,10
9331,50,10
8291,50,10
4902,51,10
7491,51,10
2341,52,10
8711,53,10
11601,54,10
8261,54,10
9311,57,10
2131,59,10
8111,61,10
8872,34,11
9871,35,11
11221,39,11
6221,39,11
4591,41,11
3401,43,11
1192,43,11
10601,43,11
3391,45,11
7341,45,11
8241,45,11
3561,46,11
4211,46,11
7271,49,11
3751,50,11
11591,50,11
8281,53,11
1271,53,11
21214,53,11
11171,54,11
2181,55,11
21372,55,11
11651,59,11
21371,63,11
9202,34,12
10151,47,12
1461,51,12
4123,52,12
6134,53,12
9741,56,12
8691,44,13
9811,48,13
9251,51,13
9601,51,13
